GRIP Oxygen Isotopes

REFERENCES:		

Johnsen, S.J., H.B. Clausen, W. Dansgaard, N.S. Gundestrup, C.U. Hammer, U.
Andersen, K.K. Andersen, C.S. Hvidberg, D. Dahl-Jensen, J.P. Steffensen, H.
Shoji, A.E. Sveinbjörnsdóttir, J.W.C. White, J. Jouzel, and D. Fisher.
1997. The d18O record along the Greenland Ice Core Pproject deep ice core
and the problem of possible Eemian climatic instability. Journal of
Geophysical Research 102:26397-26410.

Dansgaard, W., S.J. Johnsen, H.B. Clausen, D. Dahl-Jensen, N.S. Gundestrup,
C.U. Hammer, C.S. Hvidberg, J.P. Steffensen, A.E. Sveinbjörnsdóttir, J.
Jouzel, and G.C. Bond. 1993. Evidence for general instability of past
climate from a 250 kyr ice-core record. Nature 264:218-220.

GRIP Members. 1993. Climate instability during the last interglacial period
recorded in the GRIP ice core. Nature 364:203-207.

Grootes, P.M., M. Stuiver, J.W.C. White, S.J. Johnsen, and J. Jouzel. 1993.
Comparison of oxygen isotope records from the GISP2 and GRIP Greenland ice
cores. Nature 366:552-554.

Dansgaard, W., J.W.C. White, and S.J. Johnsen. 1989. The abrupt termination
of the Younger Dryas climate event. Nature 339:532-533.

DATA DESCRIPTION:
		
This data set contains 55cm average delta 18-O values from the GRIP core. 
These data were used in the construction of the glaciological timescale 
given in the file gripage.dat and reproduced here.

DATA:

Depth (m)	del18O	Age (yrs BP)
1041.15	-35.71	5655.2
1041.70	-35.07	5659.7
1042.25	-35.47	5663.8
1042.80	-34.25	5668.1
1043.35	-34.93	5672.1
1043.90	-34.01	5676.2
1044.45	-35.55	5680.1
1045.00	-34.61	5684.5
1045.55	-34.64	5688.5
1046.10	-33.74	5692.6
1046.65	-35.48	5696.4
1047.20	-35.81	5700.8
1047.75	-35.14	5705.2
1048.30	-34.19	5709.4
1048.85	-34.53	5713.4
1049.40	-34.76	5717.4
1049.95	-34.79	5721.5
1050.50	-35.26	5725.6
1051.05	-34.52	5729.9
1051.60	-34.15	5733.9
1052.15	-34.67	5737.9
1052.70	-34.22	5742
1053.25	-34.33	5745.9
1053.80	-34.55	5749.9
1054.35	-33.69	5754
1054.90	-33.72	5757.9
1055.45	-34.49	5761.7
1056.00	-34.77	5765.8
1056.55	-37.09	5769.9
1057.10	-34.95	5775.1
1057.65	-34.71	5779.2
1058.20	-35.97	5783.4
1058.75	-35.49	5787.9
1059.30	-34.76	5792.3
1059.85	-35.76	5796.4
1060.40	-34.95	5800.9
1060.95	-34.59	5805.1
1061.50	-35.22	5809.2
1062.05	-34.08	5813.5
1062.60	-34.43	5817.5
1063.15	-33.83	5821.5
1063.70	-35.72	5825.4
1064.25	-34.73	5829.9
1064.80	-34.03	5834
1065.35	-35.06	5838
1065.90	-34.64	5842.3
1066.45	-34.1	5846.4
1067.00	-33.97	5850.4
1067.55	-34.11	5854.3
1068.10	-35.14	5858.3
1068.65	-35.56	5862.6
1069.20	-34.54	5867
1069.75	-34.45	5871.1
1070.30	-34.58	5875.2
1070.85	-35.74	5879.3
1071.40	-34.08	5883.8
1071.95	-33.85	5887.8
1072.50	-34.84	5891.8
1073.05	-33.95	5896
1073.60	-35.52	5899.9
1074.15	-34.56	5904.4
1074.70	-35.26	5908.5
1075.25	-35.09	5912.9
1075.80	-34.9	5917.1
1076.35	-34.07	5921.4
1076.90	-33.86	5925.4
1077.45	-36.96	5929.3
1078.00	-35.35	5934.5
1078.55	-34.93	5938.9
1079.10	-34.81	5943.1
1079.65	-35.44	5947.3
1080.20	-34.84	5951.8
1080.75	-35.27	5956
1081.30	-35.31	5960.4
1081.85	-35.04	5964.7
1082.40	-35.81	5969
1082.95	-35.55	5973.6
1083.50	-35.68	5978.1
1084.05	-34.12	5982.6
1084.60	-35.16	5986.7
1085.15	-35.23	5991
1085.70	-34.97	5995.4
1086.25	-33.79	5999.7
1086.80	-34.13	6003.7
1087.35	-35.39	6007.7
1087.90	-34.82	6012.1
1088.45	-35.81	6016.4
1089.00	-34.95	6021
1089.55	-35.66	6025.3
1090.10	-34.6	6029.8
1090.65	-35.04	6034
1091.20	-34.32	6038.3
1091.75	-35.74	6042.4
1092.30	-34.57	6047
1092.85	-34.74	6051.2
1093.40	-34.73	6055.5
1093.95	-34.47	6059.7
1094.50	-35.55	6063.9
1095.05	-33.92	6068.4
1095.60	-34.92	6072.4
1096.15	-34.78	6076.7
1096.70	-35.76	6081
1097.25	-34.55	6085.6
1097.80	-33.61	6089.8
1098.35	-35.18	6093.8
1098.90	-36.03	6098.2
1099.45	-34.4	6102.9
1100.00	-34.41	6107.1
1100.55	-34.56	6111.2
1101.10	-34.31	6115.4
1101.65	-34.17	6119.6
1102.20	-34.63	6123.7
1102.75	-34.12	6127.9
1103.30	-35.67	6132
1103.85	-35.14	6136.6
1104.40	-34.96	6141
1104.95	-36.02	6145.4
1105.50	-35.79	6150.1
1106.05	-35.51	6154.8
1106.60	-34.51	6159.3
1107.15	-34.88	6163.6
1107.70	-34.36	6167.9
1108.25	-35.67	6172.1
1108.80	-34.81	6176.7
1109.35	-35.55	6181
1109.90	-34.34	6185.6
1110.45	-34.74	6189.7
1111.00	-34.34	6194
1111.55	-34.28	6198.2
1112.10	-33.41	6202.4
1112.65	-35	6206.4
1113.20	-34.53	6210.8
1113.75	-34.97	6215
1114.30	-35.17	6219.4
1114.85	-34.87	6223.8
1115.40	-35.59	6228.2
1115.95	-35.14	6232.8
1116.50	-34.94	6237.2
1117.05	-34.79	6241.6
1117.60	-35.51	6246
1118.15	-35.04	6250.5
1118.70	-34.2	6255
1119.25	-34.3	6259.1
1119.80	-34.61	6263.3
1120.35	-34.69	6267.6
1120.90	-35.83	6271.9
1121.45	-34.55	6276.7
1122.00	-34.57	6280.9
1122.55	-35.13	6285.2
1123.10	-34.74	6289.7
1123.65	-36.02	6294
1124.20	-34.52	6298.9
1124.75	-35.5	6303.1
1125.30	-35.14	6307.8
1125.85	-34.13	6312.2
1126.40	-34.87	6316.4
1126.95	-34.31	6320.8
1127.50	-34.56	6325
1128.05	-34.44	6329.3
1128.60	-35.47	6333.6
1129.15	-35.12	6338.2
1129.70	-35.43	6342.7
1130.25	-35.41	6347.3
1130.80	-34.77	6351.9
1131.35	-34.54	6356.3
1131.90	-34.47	6360.6
1132.45	-33.49	6364.9
1133.00	-35.93	6368.9
1133.55	-35.05	6373.8
1134.10	-34.77	6378.2
1134.65	-35.11	6382.6
1135.20	-35.85	6387.1
1135.75	-34.64	6391.9
1136.30	-35.1	6396.3
1136.85	-34.5	6400.8
1137.40	-35.21	6405.1
1137.95	-35.61	6409.6
1138.50	-34.9	6414.3
1139.05	-34.65	6418.8
1139.60	-34.8	6423.1
1140.15	-34.39	6427.6
1140.70	-34.72	6431.9
1141.25	-35.01	6436.3
1141.80	-35.22	6440.7
1142.35	-34.22	6445.3
1142.90	-34.9	6449.6
1143.45	-36.36	6454
1144.00	-34.8	6459.1
1144.55	-35.87	6463.5
1145.10	-34.21	6468.4
1145.65	-34.37	6472.6
1146.20	-34.74	6477
1146.75	-34.85	6481.4
1147.30	-34.61	6485.8
1147.85	-35.49	6490.2
1148.40	-34.6	6494.9
1148.95	-34.99	6499.3
1149.50	-34.06	6503.8
1150.05	-35.1	6508.1
1150.60	-34.37	6512.6
1151.15	-35.16	6516.9
1151.70	-34.39	6521.5
1152.25	-35.02	6525.9
1152.80	-35.04	6530.4
1153.35	-35.56	6534.9
1153.90	-34.67	6539.7
1154.45	-34.86	6544.1
1155.00	-34.64	6548.6
1155.55	-34.85	6553
1156.10	-34.59	6557.5
1156.65	-35.43	6561.9
1157.20	-34.96	6566.6
1157.75	-34.36	6571.1
1158.30	-34.54	6575.5
1158.85	-35.21	6579.9
1159.40	-34.8	6584.5
1159.95	-34.7	6589
1160.50	-35.01	6593.5
1161.05	-34.09	6598
1161.60	-35.31	6602.3
1162.15	-36	6607
1162.70	-35.2	6612
1163.25	-34.86	6616.6
1163.80	-34.11	6621.1
1164.35	-35.18	6625.4
1164.90	-34.86	6630.1
1165.45	-34.67	6634.6
1166.00	-35.81	6639.1
1166.55	-33.61	6644
1167.10	-34.75	6648.2
1167.65	-34.75	6652.7
1168.20	-34.93	6657.2
1168.75	-34.66	6661.7
1169.30	-35.15	6666.2
1169.85	-34.63	6670.9
1170.40	-34.59	6675.3
1170.95	-34.03	6679.8
1171.50	-33.88	6684.1
1172.05	-34.22	6688.4
1172.60	-34.45	6692.7
1173.15	-34.51	6697.2
1173.70	-35.1	6701.6
1174.25	-35.17	6706.3
1174.80	-35.51	6710.9
1175.35	-34.81	6715.7
1175.90	-34.13	6720.3
1176.45	-34.37	6724.7
1177.00	-34.16	6729.1
1177.55	-33.76	6733.4
1178.10	-34.31	6737.7
1178.65	-35	6742.1
1179.20	-35.42	6746.8
1179.75	-34.52	6751.5
1180.30	-36.01	6756
1180.85	-34.75	6761.1
1181.40	-34.34	6765.6
1181.95	-34.78	6770.1
1182.50	-35.08	6774.6
1183.05	-35.36	6779.3
1183.60	-35.36	6784.1
1184.15	-34.86	6788.9
1184.70	-34.64	6793.5
1185.25	-34.9	6798
1185.80	-35.44	6802.6
1186.35	-35.23	6807.4
1186.90	-34.93	6812.2
1187.45	-34.16	6816.8
1188.00	-34.55	6821.2
1188.55	-35.81	6825.7
1189.10	-35.2	6830.7
1189.65	-34.27	6835.5
1190.20	-33.7	6839.9
1190.75	-35.49	6844.2
1191.30	-34.75	6849.1
1191.85	-34.29	6853.7
1192.40	-33.46	6858.1
1192.95	-35.13	6862.4
1193.50	-35.4	6867.1
1194.05	-34.91	6872
1194.60	-34.71	6876.6
1195.15	-34.43	6881.2
1195.70	-33.69	6885.7
1196.25	-34.08	6890
1196.80	-34.84	6894.5
1197.35	-34.92	6899.1
1197.90	-35.59	6903.8
1198.45	-35.31	6908.7
1199.00	-33.88	6913.5
1199.55	-34.51	6917.9
1200.10	-35.69	6922.5
1200.65	-34.66	6927.4
1201.20	-35.01	6932
1201.75	-34.65	6936.8
1202.30	-34.04	6941.4
1202.85	-34.63	6945.8
1203.40	-34.67	6950.4
1203.95	-34.01	6955
1204.50	-35.05	6959.4
1205.05	-35.35	6964.2
1205.60	-34.83	6969.1
1206.15	-35.73	6973.7
1206.70	-34.52	6978.8
1207.25	-35.32	6983.3
1207.80	-34.41	6988.2
1208.35	-34.85	6992.8
1208.90	-34.28	6997.4
1209.45	-34.46	7002
1210.00	-35.02	7006.5
1210.55	-34.48	7011.3
1211.10	-35.22	7015.9
1211.65	-33.84	7020.7
1212.20	-35.03	7025.1
1212.75	-34.81	7029.9
1213.30	-36.16	7034.6
1213.85	-34.77	7039.9
1214.40	-34.06	7044.6
1214.95	-35.63	7049.1
1215.50	-35.85	7054.1
1216.05	-35.85	7059.2
1216.60	-34.93	7064.3
1217.15	-36.01	7069.1
1217.70	-34.17	7074.3
1218.25	-34.87	7078.8
1218.80	-34.35	7083.6
1219.35	-33.47	7088.1
1219.90	-34.4	7092.5
1220.45	-34.46	7097.1
1221.00	-34.58	7101.7
1221.55	-34.49	7106.4
1222.10	-35.1	7111
1222.65	-35.82	7115.9
1223.20	-34.91	7121
1223.75	-34.64	7125.8
1224.30	-34.75	7130.5
1224.85	-34.49	7135.2
1225.40	-33.48	7139.8
1225.95	-35.27	7144.2
1226.50	-34.38	7149.1
1227.05	-35.37	7153.8
1227.60	-34.49	7158.7
1228.15	-33.94	7163.4
1228.70	-34.66	7167.9
1229.25	-34.94	7172.6
1229.80	-35.01	7177.4
1230.35	-33.96	7182.2
1230.90	-33.8	7186.8
1231.45	-34.69	7191.3
1232.00	-34.31	7196
1232.55	-34.6	7200.6
1233.10	-33.53	7205.3
1233.65	-34.68	7209.7
1234.20	-34.45	7214.5
1234.75	-33.95	7219.2
1235.30	-34.06	7223.7
1235.85	-33.96	7228.3
1236.40	-35.08	7232.8
1236.95	-35.27	7237.7
1237.50	-34.97	7242.7
1238.05	-34.63	7247.5
1238.60	-35.48	7252.3
1239.15	-34.75	7257.3
1239.70	-33.99	7262.1
1240.25	-34.88	7266.7
1240.80	-34.24	7271.5
1241.35	-34.12	7276.1
1241.90	-33.33	7280.7
1242.45	-35.18	7285.2
1243.00	-34.88	7290.1
1243.55	-34.1	7295
1244.10	-34.26	7299.6
1244.65	-34.8	7304.2
1245.20	-34.18	7309.1
1245.75	-35.18	7313.7
1246.30	-34.86	7318.7
1246.85	-34.47	7323.5
1247.40	-34.15	7328.3
1247.95	-34.46	7332.9
1248.50	-35.02	7337.6
1249.05	-33.89	7342.5
1249.60	-34.33	7347.1
1250.15	-34.49	7351.8
1250.70	-34.95	7356.6
1251.25	-34.86	7361.5
1251.80	-34.96	7366.3
1252.35	-34.19	7371.3
1252.90	-35.16	7375.9
1253.45	-34.25	7380.9
1254.00	-35.04	7385.6
1254.55	-34.42	7390.6
1255.10	-34.07	7395.3
1255.65	-34.94	7400
1256.20	-34.99	7404.9
1256.75	-35.01	7409.8
1257.30	-34.23	7414.8
1257.85	-34.02	7419.5
1258.40	-35.29	7424.1
1258.95	-34.63	7429.2
1259.50	-35.13	7434
1260.05	-34.94	7439
1260.60	-34.15	7444
1261.15	-34.09	7448.7
1261.70	-35.12	7453.4
1262.25	-34.79	7458.4
1262.80	-34.67	7463.3
1263.35	-34.54	7468.1
1263.90	-34.81	7472.9
1264.45	-35.25	7477.9
1265.00	-34.24	7482.9
1265.55	-33.78	7487.7
1266.10	-33.84	7492.3
1266.65	-35.03	7496.9
1267.20	-34.24	7501.9
1267.75	-34.46	7506.7
1268.30	-33.88	7511.5
1268.85	-35.38	7516.2
1269.40	-35.31	7521.3
1269.95	-35.16	7526.4
1270.50	-34.21	7531.5
1271.05	-34.61	7536.3
1271.60	-35.09	7541.1
1272.15	-34.14	7546.2
1272.70	-34.51	7550.9
1273.25	-35.95	7555.8
1273.80	-35.15	7561.2
1274.35	-34.54	7566.3
1274.90	-34.99	7571.2
1275.45	-35	7576.2
1276.00	-34.38	7581.3
1276.55	-35.01	7586.1
1277.10	-34.4	7591.1
1277.65	-35	7596
1278.20	-35.11	7601
1278.75	-34.04	7606.1
1279.30	-34.86	7610.8
1279.85	-33.83	7615.8
1280.40	-34.18	7620.5
1280.95	-33.67	7625.3
1281.50	-33.55	7630
1282.05	-34.61	7634.6
1282.60	-34.25	7639.5
1283.15	-34.86	7644.3
1283.70	-35.38	7649.4
1284.25	-33.17	7654.6
1284.80	-34.5	7659.2
1285.35	-34.65	7664.1
1285.90	-34.84	7669
1286.45	-33.87	7674
1287.00	-34.24	7678.8
1287.55	-35.03	7683.6
1288.10	-35.2	7688.7
1288.65	-34.67	7693.9
1289.20	-35.69	7698.9
1289.75	-33.86	7704.3
1290.30	-33.64	7709
1290.85	-34.09	7713.7
1291.40	-34.58	7718.5
1291.95	-34.88	7723.5
1292.50	-34.44	7728.5
1293.05	-35.39	7733.4
1293.60	-33.86	7738.7
1294.15	-33.71	7743.5
1294.70	-34.35	7748.2
1295.25	-34.56	7753.1
1295.80	-34.56	7758.1
1296.35	-33.81	7763
1296.90	-34.9	7767.8
1297.45	-34	7772.9
1298.00	-34.47	7777.7
1298.55	-35.79	7782.7
1299.10	-34.7	7788.2
1299.65	-33.69	7793.2
1300.20	-35.21	7797.9
1300.75	-35.3	7803.2
1301.30	-35.56	7808.4
1301.85	-34.2	7813.8
1302.40	-35.74	7818.7
1302.95	-34.43	7824.2
1303.50	-34.36	7829.2
1304.05	-34.96	7834.1
1304.60	-34.09	7839.3
1305.15	-34.91	7844.1
1305.70	-34.94	7849.3
1306.25	-34.66	7854.4
1306.80	-34.04	7859.5
1307.35	-34.82	7864.4
1307.90	-35.74	7869.5
1308.45	-34.48	7875
1309.00	-34.83	7880
1309.55	-33.54	7885.1
1310.10	-34.23	7889.9
1310.65	-34.59	7894.8
1311.20	-34.32	7899.9
1311.75	-33.8	7904.8
1312.30	-35.11	7909.7
1312.85	-34.16	7914.9
1313.40	-34.81	7919.8
1313.95	-34.93	7925
1314.50	-34.73	7930.2
1315.05	-35.38	7935.3
1315.60	-35.51	7940.7
1316.15	-34.72	7946.1
1316.70	-34.88	7951.2
1317.25	-34.91	7956.4
1317.80	-35.14	7961.6
1318.35	-36.45	7966.9
1318.90	-34.38	7972.9
1319.45	-34.45	7977.9
1320.00	-36.17	7983
1320.55	-35.94	7988.8
1321.10	-35.13	7994.5
1321.65	-34.54	7999.8
1322.20	-34.42	8004.9
1322.75	-34.63	8009.9
1323.30	-35.24	8015
1323.85	-34.27	8020.4
1324.40	-35.27	8025.4
1324.95	-36.02	8030.8
1325.50	-35.28	8036.5
1326.05	-35.66	8041.9
1326.60	-35.85	8047.5
1327.15	-36.29	8053.2
1327.70	-35.81	8059.1
1328.25	-35.88	8064.8
1328.80	-33.73	8070.5
1329.35	-34	8075.4
1329.90	-36.48	8080.3
1330.45	-35.7	8086.4
1331.00	-36.62	8092
1331.55	-35.58	8098.2
1332.10	-35.65	8103.7
1332.65	-35.52	8109.3
1333.20	-35.4	8114.9
1333.75	-36.6	8120.4
1334.30	-37.92	8126.5
1334.85	-36.16	8133.8
1335.40	-36.3	8139.7
1335.95	-35.63	8145.6
1336.50	-35.83	8151.3
1337.05	-34.38	8157
1337.60	-34.94	8162.1
1338.15	-36.39	8167.4
1338.70	-34.9	8173.5
1339.25	-34.86	8178.8
1339.80	-34.01	8184
1340.35	-34.32	8189.1
1340.90	-35.01	8194.2
1341.45	-34.54	8199.5
1342.00	-35.27	8204.7
1342.55	-35.71	8210.2
1343.10	-34.42	8215.9
1343.65	-34.36	8221
1344.20	-34.65	8226.2
1344.75	-35.23	8231.4
1345.30	-34.79	8236.9
1345.85	-34.35	8242.2
1346.40	-35.37	8247.3
1346.95	-35.35	8252.8
1347.50	-34.49	8258.4
1348.05	-35.23	8263.6
1348.60	-35.47	8269.1
1349.15	-33.87	8274.7
1349.70	-33.98	8279.7
1350.25	-35	8284.7
1350.80	-34.65	8290.1
1351.35	-34.54	8295.4
1351.90	-35.19	8300.6
1352.45	-35.29	8306.1
1353.00	-35.34	8311.7
1353.55	-35.82	8317.2
1354.10	-34.49	8323
1354.65	-34.85	8328.3
1355.20	-34.67	8333.6
1355.75	-33.97	8338.9
1356.30	-34.93	8344
1356.85	-34.52	8349.4
1357.40	-35.74	8354.7
1357.95	-35.88	8360.5
1358.50	-34.59	8366.3
1359.05	-35.27	8371.6
1359.60	-34.87	8377.2
1360.15	-33.31	8382.6
1360.70	-33.81	8387.5
1361.25	-34.73	8392.6
1361.80	-34.86	8398
1362.35	-35.12	8403.4
1362.90	-35.71	8408.9
1363.45	-34.66	8414.7
1364.00	-34.06	8420
1364.55	-34.93	8425.2
1365.10	-35.03	8430.6
1365.65	-34.91	8436.1
1366.20	-34.76	8441.6
1366.75	-33.55	8447
1367.30	-34.96	8452
1367.85	-35.53	8457.5
1368.40	-34.76	8463.2
1368.95	-33.67	8468.6
1369.50	-34.74	8473.7
1370.05	-35.06	8479.1
1370.60	-34.09	8484.6
1371.15	-35.67	8489.8
1371.70	-34.51	8495.6
1372.25	-33.63	8501
1372.80	-33.81	8506
1373.35	-34.82	8511.2
1373.90	-35.7	8516.6
1374.45	-34.65	8522.5
1375.00	-34.49	8527.9
1375.55	-35.88	8533.2
1376.10	-35.07	8539.2
1376.65	-35.08	8544.7
1377.20	-34.26	8550.3
1377.75	-35.37	8555.6
1378.30	-36.21	8561.3
1378.85	-34.74	8567.5
1379.40	-35.02	8572.9
1379.95	-35.42	8578.5
1380.50	-35.21	8584.3
1381.05	-35.09	8589.9
1381.60	-34.17	8595.5
1382.15	-34.44	8600.8
1382.70	-34.47	8606.2
1383.25	-35.9	8611.5
1383.80	-35.53	8617.6
1384.35	-35.56	8623.4
1384.90	-33.92	8629.3
1385.45	-33.94	8634.5
1386.00	-34.65	8639.7
1386.55	-35.25	8645.2
1387.10	-34.03	8650.9
1387.65	-34.89	8656.1
1388.20	-35.07	8661.7
1388.75	-33.83	8667.3
1389.30	-34.79	8672.5
1389.85	-34.41	8678.1
1390.40	-35.49	8683.5
1390.95	-34.15	8689.3
1391.50	-35.83	8694.6
1392.05	-35.2	8700.7
1392.60	-35.28	8706.4
1393.15	-34.56	8712.1
1393.70	-34.59	8717.6
1394.25	-34.36	8723.1
1394.80	-33.52	8728.5
1395.35	-34.47	8733.6
1395.90	-35.74	8739.1
1396.45	-35.65	8745.1
1397.00	-35.48	8751.1
1397.55	-34.35	8757
1398.10	-34.99	8762.4
1398.65	-33.99	8768
1399.20	-34.8	8773.4
1399.75	-35.52	8778.9
1400.30	-33.86	8784.9
1400.85	-33.88	8790.1
1401.40	-34.71	8795.4
1401.95	-33.91	8801
1402.50	-34.27	8806.3
1403.05	-34.07	8811.7
1403.60	-34.68	8817.1
1404.15	-34.72	8822.6
1404.70	-33.44	8828.2
1405.25	-33.66	8833.4
1405.80	-34.32	8838.7
1406.35	-34.44	8844.1
1406.90	-34.48	8849.6
1407.45	-34.66	8855.1
1408.00	-34.73	8860.7
1408.55	-33.04	8866.3
1409.10	-33.9	8871.5
1409.65	-35.52	8876.8
1410.20	-34.23	8882.8
1410.75	-35.29	8888.3
1411.30	-34.68	8894.1
1411.85	-34.49	8899.7
1412.40	-34.14	8905.3
1412.95	-34.91	8910.7
1413.50	-35.73	8916.4
1414.05	-35.12	8922.5
1414.60	-34.78	8928.4
1415.15	-34.82	8934
1415.70	-35.23	8939.7
1416.25	-34.44	8945.6
1416.80	-35.36	8951.2
1417.35	-34.09	8957.1
1417.90	-35.47	8962.5
1418.45	-34.77	8968.6
1419.00	-34.49	8974.2
1419.55	-35.35	8979.8
1420.10	-34	8985.8
1420.65	-34.86	8991.2
1421.20	-34.67	8997
1421.75	-36.18	9002.6
1422.30	-34.52	9009.1
1422.85	-33.51	9014.7
1423.40	-33.59	9020
1423.95	-33.22	9025.3
1424.50	-33.84	9030.6
1425.05	-34.4	9036
1425.60	-34.85	9041.6
1426.15	-34.44	9047.4
1426.70	-34.93	9053
1427.25	-34.29	9058.8
1427.80	-33.99	9064.3
1428.35	-33.61	9069.8
1428.90	-34.81	9075.2
1429.45	-34.88	9081
1430.00	-34.36	9086.8
1430.55	-35.48	9092.4
1431.10	-34.57	9098.5
1431.65	-34.8	9104.2
1432.20	-34.41	9109.9
1432.75	-35.01	9115.6
1433.30	-34.94	9121.5
1433.85	-34.9	9127.3
1434.40	-34.94	9133.1
1434.95	-34.19	9139
1435.50	-35.62	9144.6
1436.05	-35.79	9150.8
1436.60	-36.3	9157.1
1437.15	-35.49	9163.7
1437.70	-35.23	9169.9
1438.25	-35.07	9175.9
1438.80	-34.53	9181.8
1439.35	-34.43	9187.5
1439.90	-34.1	9193.2
1440.45	-34.84	9198.8
1441.00	-35.39	9204.6
1441.55	-35.01	9210.8
1442.10	-33.4	9216.7
1442.65	-34.55	9222.1
1443.20	-34.6	9227.8
1443.75	-34.71	9233.6
1444.30	-34.39	9239.4
1444.85	-34.01	9245.1
1445.40	-35.56	9250.7
1445.95	-35.32	9257
1446.50	-34.08	9263.1
1447.05	-33.86	9268.7
1447.60	-33.89	9274.2
1448.15	-34.59	9279.8
1448.70	-34.43	9285.6
1449.25	-33.97	9291.3
1449.80	-34.66	9296.9
1450.35	-34.65	9302.8
1450.90	-33.97	9308.6
1451.45	-35.24	9314.2
1452.00	-34.3	9320.3
1452.55	-34.59	9326
1453.10	-34.65	9331.9
1453.65	-33.99	9337.7
1454.20	-34.34	9343.3
1454.75	-34.02	9349.1
1455.30	-34.36	9354.7
1455.85	-34.35	9360.5
1456.40	-35.82	9366.2
1456.95	-34.16	9372.7
1457.50	-34.44	9378.4
1458.05	-33.13	9384.2
1458.60	-34.8	9389.6
1459.15	-34.69	9395.6
1459.70	-34.81	9401.5
1460.25	-34.79	9407.5
1460.80	-35.08	9413.4
1461.35	-34.07	9419.5
1461.90	-35.07	9425.2
1462.45	-35.38	9431.3
1463.00	-36.23	9437.6
1463.55	-35.17	9444.3
1464.10	-34.8	9450.5
1464.65	-34.1	9456.5
1465.20	-34.48	9462.2
1465.75	-35.15	9468.1
1466.30	-33.76	9474.2
1466.85	-34.49	9479.9
1467.40	-34.57	9485.8
1467.95	-34.76	9491.7
1468.50	-34.97	9497.7
1469.05	-34.34	9503.8
1469.60	-35.24	9509.6
1470.15	-34.56	9515.8
1470.70	-34.82	9521.8
1471.25	-34.83	9527.8
1471.80	-34.83	9533.9
1472.35	-35.53	9539.9
1472.90	-34.88	9546.3
1473.45	-33.86	9552.4
1474.00	-33.61	9558.1
1474.55	-33.55	9563.8
1475.10	-33.84	9569.4
1475.65	-34.75	9575.1
1476.20	-35.1	9581.1
1476.75	-35.4	9587.3
1477.30	-34.08	9593.7
1477.85	-34.45	9599.5
1478.40	-35	9605.5
1478.95	-34.51	9611.6
1479.50	-34.87	9617.6
1480.05	-34.7	9623.7
1480.60	-34.97	9629.8
1481.15	-34.66	9635.9
1481.70	-35.14	9642
1482.25	-34.14	9648.3
1482.80	-35.72	9654.1
1483.35	-34.93	9660.7
1483.90	-35.45	9666.9
1484.45	-34.69	9673.3
1485.00	-35.33	9679.4
1485.55	-34.29	9685.8
1486.10	-33.61	9691.7
1486.65	-34.59	9697.4
1487.20	-34.65	9703.5
1487.75	-34.8	9709.6
1488.30	-35.03	9715.7
1488.85	-35.09	9722
1489.40	-34.81	9728.3
1489.95	-33.62	9734.4
1490.50	-34.75	9740.2
1491.05	-34.78	9746.3
1491.60	-34.26	9752.5
1492.15	-34.2	9758.4
1492.70	-34.77	9764.4
1493.25	-35.03	9770.6
1493.80	-34.55	9776.9
1494.35	-34.41	9782.9
1494.90	-34.71	9789
1495.45	-36.01	9795.1
1496.00	-35.72	9802
1496.55	-34.74	9808.7
1497.10	-34.57	9814.9
1497.65	-34.07	9821
1498.20	-34	9826.9
1498.75	-34.34	9832.8
1499.30	-35.17	9838.9
1499.85	-35.14	9845.3
1500.40	-34.92	9851.7
1500.95	-33.96	9858
1501.50	-35.02	9863.9
1502.05	-34.29	9870.2
1502.60	-35.01	9876.3
1503.15	-34.76	9882.6
1503.70	-34.98	9888.9
1504.25	-35.44	9895.2
1504.80	-36.3	9901.8
1505.35	-34.2	9909
1505.90	-35.46	9915
1506.45	-35.86	9921.6
1507.00	-34.83	9928.5
1507.55	-35.38	9934.8
1508.10	-35.84	9941.3
1508.65	-35.1	9948.2
1509.20	-35.89	9954.6
1509.75	-34.93	9962
1510.30	-34.95	9968
1510.85	-34.45	9974
1511.40	-35.16	9980
1511.95	-35.2	9987
1512.50	-35.33	9993
1513.05	-36.02	10000
1513.60	-34.98	10007
1514.15	-34.73	10014
1514.70	-35.07	10020
1515.25	-34.15	10026
1515.80	-35.65	10032
1516.35	-34.55	10039
1516.90	-35.02	10045
1517.45	-35.69	10052
1518.00	-35.38	10059
1518.55	-34.57	10065
1519.10	-35.73	10072
1519.65	-35.67	10079
1520.20	-35.66	10085
1520.75	-35.62	10092
1521.30	-35.26	10099
1521.85	-35.58	10106
1522.40	-35.96	10112
1522.95	-36.02	10120
1523.50	-36.01	10127
1524.05	-35.06	10134
1524.60	-35.99	10140
1525.15	-35.33	10147
1525.70	-35.52	10154
1526.25	-35.47	10161
1526.80	-35.07	10168
1527.35	-35.47	10174
1527.90	-35.85	10181
1528.45	-36.14	10188
1529.00	-34.75	10195
1529.55	-34.52	10202
1530.10	-35.14	10208
1530.65	-36.28	10215
1531.20	-36.15	10222
1531.75	-36.92	10229
1532.30	-36.08	10237
1532.85	-36.26	10244
1533.40	-36.41	10252
1533.95	-35.8	10259
1534.50	-35.33	10266
1535.05	-35.36	10273
1535.60	-34.96	10280
1536.15	-35.29	10286
1536.70	-35.55	10293
1537.25	-34.99	10300
1537.80	-35.77	10307
1538.35	-34.56	10314
1538.90	-35.09	10320
